INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
Fresno Pacific University,CA,36.726831,-119.735199,1
Fullerton College,CA,33.875514,-117.918255,2
Gavilan College,CA,36.972627,-121.569842,2
Gemological Institute of America-Carlsbad,CA,33.131313,-117.31876499999998,3
Glendale Community College,CA,34.16745,-118.22766599999999,2
Glendale Career College,CA,34.149771,-118.254719,2
Golden Gate University-San Francisco,CA,37.789374,-122.398969,1
Golden West College,CA,33.732531,-118.002568,2
Grossmont College,CA,32.815246,-117.006277,2
Salon Success Academy-Riverside,CA,33.943149,-117.391024,3
Hartnell College,CA,36.675090999999995,-121.666054,2
Harvey Mudd College,CA,34.106515,-117.70983700000001,1
Hilltop Beauty School,CA,37.705502,-122.461467,3
Holy Names University,CA,37.802276,-122.187804,1
Humboldt State University,CA,40.877481,-124.07829299999999,1
Humphreys University-Stockton and Modesto Campuses,CA,38.01148900000001,-121.31691799999999,1
Imperial Valley College,CA,32.827209,-115.50356299999999,2
Institute for Business and Technology,CA,37.368642,-121.96954099999999,2
Interior Designers Institute,CA,33.641393,-117.86572199999999,1
Toni & Guy Hairdressing Academy-Santa Monica,CA,34.017276,-118.494755,3
Irvine Valley College,CA,33.675381,-117.77753899999999,2
Bellus Academy-El Cajon,CA,32.794072,-116.94627,2
John F. Kennedy University,CA,37.956616,-122.05476100000001,1
American Jewish University,CA,34.128153000000005,-118.47170600000001,1
Reedley College,CA,36.605428,-119.458555,2
Life Pacific College,CA,34.098704999999995,-117.829388,1
Argosy University-The Art Institute of California-San Diego,CA,32.778278,-117.155395,1
University of La Verne,CA,34.100854999999996,-117.77326200000002,1
Laguna College of Art and Design,CA,33.561448,-117.77256399999999,1
Lake Tahoe Community College,CA,38.926797,-119.972574,2
Lancaster Beauty School,CA,34.694914000000004,-118.147547,3
Laney College,CA,37.797257,-122.26283000000001,2
Lassen Community College,CA,40.432053,-120.633271,2
Lincoln University,CA,37.804788,-122.269745,1
Southern California Seminary,CA,32.799614,-116.90546100000002,1
La Sierra University,CA,33.910703999999996,-117.500054,1
Loma Linda University,CA,34.051241,-117.260605,1
Long Beach City College,CA,33.833593,-118.13563300000001,2
Southern California University of Health Sciences,CA,33.922965999999995,-117.983401,1
Los Angeles Harbor College,CA,33.784201,-118.28186000000001,2
Los Angeles Pierce College,CA,34.183949,-118.575071,2
Los Angeles Southwest College,CA,33.929586,-118.304674,2
Los Angeles Trade Technical College,CA,34.031907000000004,-118.269447,2
Los Angeles Valley College,CA,34.175165,-118.42173400000001,2
The Master's University and Seminary,CA,34.381755,-118.518193,1
Los Angeles City College,CA,34.087301000000004,-118.292169,2
Los Angeles County College of Nursing and Allied Health,CA,34.062647,-118.21185200000001,2
Los Angeles Mission College,CA,34.314668,-118.4195,2
Los Medanos College,CA,38.006474,-121.86096699999999,2
Argosy University-The Art Institute of California-San Francisco,CA,37.780569,-122.413417,1
Loyola Marymount University,CA,33.97085,-118.41574399999999,1
Lu Ross Academy,CA,34.278034000000005,-119.293952,3
Lyle's College of Beauty,CA,35.386539,-119.02387,3
Lyle's College of  Beauty,CA,36.836265000000004,-119.77416699999999,3
Lytles Redwood Empire Beauty College Inc,CA,38.508385,-122.75777,3
MTI Business College Inc,CA,38.007884999999995,-121.30844499999999,3
MTI College,CA,38.661377,-121.342568,2
Brightwood College-Sacramento,CA,38.644462,-121.380453,2
Brightwood College-San Diego,CA,32.821707,-117.133017,2
Brightwood College-Vista,CA,33.17244,-117.22081599999999,2
College of Marin,CA,37.954896999999995,-122.549149,2
Marymount California University,CA,33.734887,-118.333371,1
Mendocino College,CA,39.188989,-123.22880900000001,2
Menlo College,CA,37.453475,-122.190797,1
Merced College,CA,37.3353,-120.47646399999999,2
Merritt College,CA,37.789088,-122.16733500000001,2
Mills College,CA,37.781425,-122.182294,1
MiraCosta College,CA,33.190483,-117.30260600000001,1
Mission College,CA,37.391935,-121.980783,2
Modern Beauty Academy,CA,34.195384000000004,-119.181423,3
Brightwood College-Los Angeles-Van Nuys,CA,34.200812,-118.46856799999999,2
Modesto Junior College,CA,37.651056,-121.00979199999999,1
Moler Barber College,CA,37.827075,-122.26535200000001,3
Middlebury Institute of International Studies at Monterey,CA,36.599736,-121.897325,1
Monterey Peninsula College,CA,36.590558,-121.88493100000001,2
Moorpark College,CA,34.301146,-118.834528,2
Mt San Antonio College,CA,34.047764,-117.84662900000001,2
Mount Saint Mary's University,CA,34.085315,-118.482879,1
Mt San Jacinto Community College District,CA,33.806748,-116.97116899999999,2
Musicians Institute,CA,34.101265000000005,-118.33758200000001,1
Napa Valley College,CA,38.274081,-122.274381,2
National Holistic Institute,CA,37.841898,-122.287672,3
National University,CA,32.909894,-117.243026,1
Newschool of Architecture and Design,CA,32.71331,-117.153305,1
Newberry School of Beauty,CA,34.256683,-118.499693,3
North Adrian's College of Beauty Inc,CA,37.677778,-120.99275300000001,3
North-West College-Pomona,CA,34.062043,-117.751227,3
North-West College-West Covina,CA,34.072071,-117.949583,2
North-West College-Van Nuys,CA,34.189496999999996,-118.45018400000001,3
Notre Dame de Namur University,CA,37.517111,-122.28479399999999,1
Occidental College,CA,34.127124,-118.210908,1
Ohlone College,CA,37.52773,-121.916339,2
Orange Coast College,CA,33.669270000000004,-117.90908600000002,2
Otis College of Art and Design,CA,33.956607,-118.416615,1
